objective,seed,generator,dedup,n_cand,best_b10,best_b40,best_b80,revisits
func2C,1016,random,combination,1000,0.0897909832970982,0.03474456770420837,0.03474456770420837,0
func2C,1016,keep,combination,50,-0.17130740716318077,-0.20630303442297993,-0.20631444745075328,0
func2C,1016,keep,combination,200,-0.20570915439904472,-0.20632472107405997,-0.20632472107405997,0
func2C,1016,flip,combination,50,-0.1723752596595765,-0.1999255696072905,-0.1999255696072905,0
func2C,1016,flip,combination,200,-0.15460650681428434,-0.1893554261820125,-0.18949667642392135,0
func2C,1017,keep,combination,1000,-0.20632406183977592,-0.2063252431603348,-0.2063252431603348,0
func2C,1017,keep,encoding,1000,-0.20632502740381833,-0.20632528242057893,-0.20632549886163876,0
func2C,1017,flip,combination,1000,-0.20574785527175482,-0.20574785527175482,-0.20580250295427865,0
func2C,1017,flip,encoding,1000,-0.20304033371805347,-0.20489035304116804,-0.2055552736218688,0
func2C,1017,random,combination,1000,0.3706839475179018,-0.05964215172007611,-0.05964215172007611,0
func2C,1017,keep,combination,50,-0.19688174829612326,-0.2062343033179092,-0.20631792505026864,0
func2C,1017,keep,combination,200,-0.20604373438488688,-0.20631171640409735,-0.20632306968530698,0
func2C,1017,flip,combination,50,-0.140172686118156,-0.140172686118156,-0.1413033387942954,0
func2C,1017,flip,combination,200,-0.15708407268801175,-0.20299202438173847,-0.20299202438173847,0
func2C,1018,keep,combination,1000,-0.20632264308812648,-0.20632550576671913,-0.20632550576671913,0
func2C,1018,keep,encoding,1000,-0.2063229008781883,-0.20632555090670154,-0.20632555090670154,0
func2C,1018,flip,combination,1000,-0.20379081241600105,-0.20379081241600105,-0.20379081241600105,0
func2C,1018,flip,encoding,1000,-0.20319421067349727,-0.20319421067349727,-0.20587546397676948,0
func2C,1018,random,combination,1000,-0.13056524505830788,-0.13056524505830788,-0.13056524505830788,0
func2C,1018,keep,combination,50,-0.20223514699165399,-0.20630475564329803,-0.20630865395639705,0
func2C,1018,keep,combination,200,-0.20631148022518878,-0.20632370521161342,-0.20632526236516938,0
func2C,1018,flip,combination,50,-0.13056524505830788,-0.1828452727281539,-0.20540552908906934,0
func2C,1018,flip,combination,200,-0.13465539881826763,-0.1989756844007869,-0.1989756844007869,0
func2C,1019,keep,combination,1000,-0.20632245955356976,-0.2063254985136577,-0.2063254985136577,0
func2C,1019,keep,encoding,1000,-0.206316553489649,-0.2063244285635258,-0.2063250575842283,0
func2C,1019,flip,combination,1000,-0.1991313057880123,-0.20192745316817753,-0.20410715927340686,0
