objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1004,rf,flip,combination,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,rf,flip,encoding,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,tpe,own,own,0.012524456591103416,0.0066415124399188535,0.0037761371218667664,0
func2C,1004,random,random,combination,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1005,gp,keep,combination,-0.1745899419052034,-0.1745899419052034,-0.1896806758709127,0
func2C,1005,gp,keep,encoding,0.18824961115636812,0.18824961115636812,-0.0003943862053756075,0
func2C,1005,gp,flip,combination,-0.03480006186776342,-0.06544490025132774,-0.06544490025132774,0
func2C,1005,gp,flip,encoding,-0.1673282180718984,-0.18685468560147522,-0.2055407786520326,0
func2C,1005,rf,keep,combination,0.18824961115636812,0.12726677920214988,0.0688151576086329,0
func2C,1005,rf,keep,encoding,0.13789354902714132,0.024727599799534983,-0.008202921274684494,0
func2C,1005,rf,flip,combination,0.08170237565410335,0.06834143600174863,-0.18745102371246433,0
func2C,1005,rf,flip,encoding,0.1256832466232542,-0.034687633415342714,-0.034687633415342714,0
func2C,1005,tpe,own,own,0.16333630518383635,0.16333630518383635,0.0007335373878210679,0
func2C,1005,random,random,combination,0.18824961115636812,0.06486881993499702,0.06486881993499702,0
func2C,1006,gp,keep,combination,0.06343210622382017,-0.1525501318500751,-0.1525501318500751,0
func2C,1006,gp,keep,encoding,-0.007855315263183034,-0.007855315263183034,-0.02223327263703272,0
func2C,1006,gp,flip,combination,-0.001951360770999189,-0.001951360770999189,-0.001951360770999189,0
func2C,1006,gp,flip,encoding,0.022324094486473066,-0.16223978980009834,-0.1907454706198179,0
func2C,1006,rf,keep,combination,0.10197055428914452,0.021382956061285395,0.021299418068011097,0
func2C,1006,rf,keep,encoding,0.10197055428914452,0.05194859661796496,0.02708657890242886,0
func2C,1006,rf,flip,combination,0.10197055428914452,0.0818711796096579,0.048334342817931496,0
func2C,1006,rf,flip,encoding,0.10197055428914452,0.01995868908642224,0.01995868908642224,0
func2C,1006,tpe,own,own,-0.1415502436012809,-0.15081695256995492,-0.18404968765530355,0
func2C,1006,random,random,combination,0.10197055428914452,0.03420402170374034,0.000899218343601179,0
func2C,1007,gp,keep,combination,0.00043007008070430897,0.0002309717094306496,-0.030692439589306543,0
func2C,1007,gp,keep,encoding,0.006202555764331888,0.0027925009297061973,0.0027925009297061973,0
func2C,1007,gp,flip,combination,0.006202555764331888,0.006202555764331888,0.0027103741421359703,0
func2C,1007,gp,flip,encoding,0.006202555764331888,0.006202555764331888,0.0014589698938118206,0
func2C,1007,rf,keep,combination,-0.11563463925984532,-0.18577931223484714,-0.18577931223484714,0
func2C,1007,rf,keep,encoding,0.006202555764331888,0.0010787107585031597,-0.14028988826835645,0
func2C,1007,rf,flip,combination,-0.19749363586235408,-0.19749363586235408,-0.19749363586235408,0
func2C,1007,rf,flip,encoding,-0.18449190091369153,-0.18449190091369153,-0.18449190091369153,0
func2C,1007,tpe,own,own,0.03550231829410486,0.027955920868291118,0.021022068787073227,0
func2C,1007,random,random,combination,0.006202555764331888,0.006202555764331888,-0.010765743207887946,0
func2C,1008,gp,keep,combination,0.05992783239749496,-0.15917154710870768,-0.20074645528538948,0
func2C,1008,gp,keep,encoding,0.05992783239749496,-0.19693914114261143,-0.19693914114261143,0
func2C,1008,gp,flip,combination,0.05992783239749496,0.016387761757357615,-0.10964203165575119,0
func2C,1008,gp,flip,encoding,0.048516163884698676,-0.03155417844798503,-0.03155417844798503,0
func2C,1008,rf,keep,combination,0.05992783239749496,0.05571865606283221,0.02100177660395082,0
func2C,1008,rf,keep,encoding,0.05992783239749496,0.05992783239749496,0.017590290123389002,0
func2C,1008,rf,flip,combination,0.0440454220299045,0.0440454220299045,0.0440454220299045,0
func2C,1008,rf,flip,encoding,0.05992783239749496,0.04726512548097219,0.04726512548097219,0
func2C,1008,tpe,own,own,0.1105522793788785,0.09144260587214664,0.013299959673143836,0
func2C,1008,random,random,combination,0.05992783239749496,0.05634364301931718,0.05634364301931718,0
func2C,1009,gp,keep,combination,0.01575269327520799,-0.0514587683439847,-0.17654198976160587,0
func2C,1009,gp,keep,encoding,-0.01312180289799012,-0.01312180289799012,-0.01312180289799012,0
func2C,1009,gp,flip,combination,0.0043422847975471,-0.1291414768066535,-0.1875572821094309,0
func2C,1009,gp,flip,encoding,0.026744613120933947,0.0027831017151509815,0.0027831017151509815,0
func2C,1009,rf,keep,combination,0.033823107809827314,-0.016991833862675665,-0.016991833862675665,0
func2C,1009,rf,keep,encoding,0.033823107809827314,0.033823107809827314,0.033823107809827314,0
func2C,1009,rf,flip,combination,0.033823107809827314,0.033823107809827314,0.024022187424988132,0
func2C,1009,rf,flip,encoding,0.033823107809827314,0.033823107809827314,0.033823107809827314,0
func2C,1009,tpe,own,own,0.11556743551897689,0.00351326011211077,0.0005953142366911246,0
func2C,1009,random,random,combination,0.033823107809827314,0.0028853956120829553,0.0028853956120829553,0
func2C,1010,gp,keep,combination,0.07419583385305627,0.030021991868000114,0.030021991868000114,0
func2C,1010,gp,keep,encoding,0.1899311600943728,0.02401646684252939,0.02401646684252939,0
func2C,1010,gp,flip,combination,0.1658186312340859,0.0215077091152944,0.0215077091152944,0
func2C,1010,gp,flip,encoding,0.22969127427946814,0.02807689127457004,0.016217442770763323,0
func2C,1010,rf,keep,combination,0.16498557251501128,0.002971096631562708,-0.1623683851304972,0
func2C,1010,rf,keep,encoding,0.22969127427946814,-0.1644286088088431,-0.1644286088088431,0
func2C,1010,rf,flip,combination,0.10572995380077602,-0.0016796361312326092,-0.12812707757855016,0
func2C,1010,rf,flip,encoding,0.047440952073304656,-0.09851695517700858,-0.15258325586420404,0
func2C,1010,tpe,own,own,0.05461038723984277,0.021310282106581056,0.0024204406539022824,0
func2C,1010,random,random,combination,0.004051898986530231,0.004051898986530231,-0.1074403928883377,0
func2C,1011,gp,keep,combination,-0.1529116567927834,-0.18893136353308676,-0.2022801418026509,0
func2C,1011,gp,keep,encoding,-0.1529116567927834,-0.1529116567927834,-0.18602394962673335,0
func2C,1011,gp,flip,combination,-0.1529116567927834,-0.1529116567927834,-0.18549090310475888,0
func2C,1011,gp,flip,encoding,-0.1529116567927834,-0.1529116567927834,-0.20134058761256735,0
func2C,1011,rf,keep,combination,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1011,rf,keep,encoding,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1011,rf,flip,combination,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1011,rf,flip,encoding,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1011,tpe,own,own,0.011088785610955752,0.0009333516330492649,0.0004993568888764242,0
func2C,1011,random,random,combination,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1012,gp,keep,combination,0.1372156229199456,-0.12728691124199115,-0.19388510575878615,0
func2C,1012,gp,keep,encoding,0.06937291708379799,0.06937291708379799,0.00775893379880982,0
func2C,1012,gp,flip,combination,0.18827866584099914,0.18827866584099914,-0.026171504863162054,0
func2C,1012,gp,flip,encoding,0.16473181179910484,0.14513940053190616,-0.10467466002013408,0
func2C,1012,rf,keep,combination,0.10597506921704963,-0.035688349312540966,-0.035688349312540966,0
